id_cliente,nombre,email,direccion,telefono,provincia
1,"Kim Hajun",kimkim98@hotmail.com,"Park Avenue 1178",+82296745122,NULL
2,"Lopez Andrea",andylp00@gmail.com,"Av. Congreso 2011",+541188765234,"Buenos Aires"
3,"Garcia Juan",juangarcia12@gmail.com,"Calle Corrientes 1234",+541134567890,"Buenos Aires"
4,"Martinez Sofia",sofiamartinez23@gmail.com,"Calle San Martin 456",+541198765432,"Buenos Aires"
5,"Rodriguez Carlos",carlosr123@gmail.com,"Av. Libertador 6543",+541144567890,"Buenos Aires"
6,"Perez Camila",camiperez89@gmail.com,"Calle Lavalle 987",+541199876543,"Buenos Aires"
7,"Gomez Maria",mariagomez76@gmail.com,"Calle Belgrano 321",+541134567891,"Buenos Aires"
8,"Fernandez Diego",diegofz22@gmail.com,"Av. Rivadavia 4567",+541112345678,"Buenos Aires"
9,"Sanchez Lucia",luciasanchez45@gmail.com,"Calle Moreno 765",+541198765431,"Buenos Aires"
10,"Gonzalez Javier",javigon@gmail.com,"Av. Santa Fe 1234",+541176543210,"Buenos Aires"
11,"Lopez Agustin",agustinlp@gmail.com,"Calle Pueyrredon 456",+541198765430,"Buenos Aires"
12,"Diaz Daniela",danieladiaz33@gmail.com,"Av. Callao 789",+541112345679,"Buenos Aires"
13,"Benitez Tomas",tbenitez99@gmail.com,"Calle Independencia 123",+541109876543,"Buenos Aires"
14,"Mendez Laura",lauramendez10@gmail.com,"Av. 9 de Julio 2345",+541134567892,"Buenos Aires"
15,"Silva Federico",fedsilva@gmail.com,"Calle Libertad 678",+541109876542,"Buenos Aires"
16,"Ruiz Valeria",valruiz85@gmail.com,"Calle Rodriguez Peña 123",+541134567893,"Buenos Aires"
17,"Romero Pablo",pabloromero@gmail.com,"Av. Sarmiento 456",+541198765429,"Buenos Aires"
18,"Cabrera Ana",anacabrera22@gmail.com,"Calle Entre Rios 234",+541109876541,"Buenos Aires"
