id_venta,fecha,email,provincia,id_categoria,total,id_producto
1,2024-01-21,victoriagarcia@gmail.com,"San Lius",2033,12.99,15220
2,2024-02-15,alejandromartinez@gmail.com,"San Luis",2037,95.60,28958
3,2024-06-18,fedsilva@gmail.com,"Buenos Aires",2035,14.99,10119
4,2024-03-19,sofiamartinez23@gmail.com,"Buenos Aires",2035,25.99,10198
5,2024-02-10,juangarcia12@gmail.com,"Buenos Aires",2037,126.99,28989
6,2024-01-29,pedronavarro@gmail.com,"Santa Fe",2037,135.65,28281
7,2024-01-30,carlosr123@gmail.com,"Buenos Aires",2037,95.60,28958
8,2024-01-15,marcelah@gmail.com,Cordoba,2035,29.99,23930
9,2024-01-20,lilianamartinez@gmail.com,Mendoza,2035,14.99,10119
10,2024-01-11,valentinalopez@gmail.com,Mendoza,2035,14.99,10119
11,2024-02-10,rodrigogarcia@gmail.com,Mendoza,2035,14.99,10119
12,2024-02-23,julietamartinez@gmail.com,Misiones,2035,14.99,10119
13,2024-02-15,diegorodriguez@gmail.com,Misiones,2035,14.99,10119
14,2024-02-16,marcoslopez@gmail.com,Cordoba,2035,25.99,10198
15,2024-02-09,sabrinagarcia@gmail.com,Cordoba,2035,25.99,10198
16,2024-02-29,gonzalomartinez@gmail.com,Cordoba,2035,25.99,10198
17,2024-01-31,mateosuarez@gmail.com,"Buenos Aires",2035,25.99,10198
18,2024-01-02,patricialuna@gmail.com,"Buenos Aires",2035,21.95,23888
19,2024-02-11,juanmorales@gmail.com,"Buenos Aires",2035,21.95,23888
20,2024-01-25,soledadjuarez@gmail.com,Cordoba,2035,21.95,23888
21,2024-01-18,brunovillalba@gmail.com,Cordoba,2035,21.95,23888
22,2024-01-22,anaramos@gmail.com,"Buenos Aires",2035,39.99,23901
23,2024-01-30,martingomez@gmail.com,"Buenos Aires",2035,39.99,23901
24,2024-01-05,matiasflores@gmail.com,Cordoba,2035,-60.00,23901
25,2024-02-19,nataliareyes@gmail.com,"Buenos Aires",2035,39.99,23901
26,2024-03-17,carlaguzman@gmail.com,Cordoba,2035,39.99,23901
27,2024-03-09,pedrosanchez@gmail.com,"Buenos Aires",2035,24.99,23902
28,2024-04-11,cristiannavarro@gmail.com,Cordoba,2035,24.99,23902
29,2024-03-01,josesilva@gmail.com,"Buenos Aires",2035,49.99,23903
30,2024-03-16,carolopez@gmail.com,"Buenos Aires",2035,49.99,23903
31,2024-03-10,camilapereyra@gmail.com,Cordoba,2035,49.99,23903
32,2024-02-19,luciaf@gmail.com,"Buenos Aires",2035,35.99,23904
33,2024-04-19,miguel.olivera@gmail.com,"Buenos Aires",2035,35.99,23904
34,2024-03-15,rocioaguero@gmail.com,Cordoba,2035,35.99,23904
35,2024-05-29,carlabustos@gmail.com,"Buenos Aires",2035,35.99,23904
36,2024-05-15,santiagososa@gmail.com,Cordoba,2035,35.99,23904
37,2024-03-30,juanalvarez@gmail.com,"Buenos Aires",2035,7.50,23905
38,2024-03-18,julioherrera@gmail.com,Cordoba,2035,19.99,23907
39,2024-04-13,andreagutierrez@gmail.com,Cordoba,2035,19.99,23907
40,2024-03-11,antonellamartinez@gmail.com,Cordoba,2035,21.99,23909
41,2024-03-13,ignaciodiaz@gmail.com,Cordoba,2035,35.99,23911
42,2024-04-09,cintiamolina@gmail.com,Cordoba,2035,19.99,23912
43,2024-03-23,nahuelcabrera@gmail.com,Cordoba,2035,12.50,23913
44,2024-03-27,gabrielaromero@gmail.com,Cordoba,2035,49.99,23915
45,2024-03-22,emanuelruiz@gmail.com,Cordoba,2035,49.99,23915
46,2024-03-20,marianasilva@gmail.com,Cordoba,2035,49.99,23915
47,2024-03-17,gustavomendez@gmail.com,Cordoba,2035,49.99,23915
48,2024-01-18,lorenabenitez@gmail.com,Cordoba,2035,25.99,23917
49,2024-01-11,facundodiaz@gmail.com,Cordoba,2035,25.99,23917
50,2024-01-08,analopez@gmail.com,Cordoba,2035,25.99,23917
51,2024-01-29,martinrojas@gmail.com,"Entre Rios",2035,16.99,23918
52,2024-01-19,paolaortiz@gmail.com,"Entre Rios",2035,16.99,23918
53,2024-01-21,luisponce@gmail.com,"Entre Rios",2035,16.99,23918
54,2024-02-26,marianamedina@gmail.com,"Entre Rios",2035,16.99,23918
55,2024-04-13,sebastiancoronel@gmail.com,"Entre Rios",2035,16.99,23918
56,2024-05-29,matiasruiz@gmail.com,Misiones,2035,16.99,23918
57,2024-06-29,camilasilva@gmail.com,Misiones,2035,16.99,23918
58,2024-02-19,valeriamendez@gmail.com,Misiones,2035,29.50,23919
59,2024-02-14,lucasbenitez@gmail.com,Misiones,2035,29.50,23919
60,2024-03-18,agustindiaz@gmail.com,Misiones,2035,29.50,23919
61,2024-02-11,martinlopez@gmail.com,Misiones,2035,19.99,23921
62,2024-05-21,rociogonzalez@gmail.com,Misiones,2035,19.99,23921
63,2024-05-11,pablosanchez@gmail.com,Misiones,2035,29.99,23922
64,2024-03-21,florenciafernandez@gmail.com,Misiones,2035,39.99,23925
65,2024-03-21,emanuelgomez@gmail.com,Misiones,2035,39.99,23925
66,2024-03-10,nataliaromero@gmail.com,"Buenos Aires",2035,39.99,23925
67,2024-05-21,pablomoreno@gmail.com,"Buenos Aires",2035,39.99,23925
68,2024-06-11,marianavega@gmail.com,"Buenos Aires",2035,39.99,23925
69,2024-03-01,juanortega@gmail.com,"Buenos Aires",2035,39.99,23925
70,2024-04-01,valentinafunes@gmail.com,"Buenos Aires",2035,39.99,23925
71,2024-04-19,joaquincaceres@gmail.com,"Buenos Aires",2035,49.99,23926
72,2024-03-16,karinaguzman@gmail.com,"Santa Fe",2035,25.99,23927
73,2024-04-16,andreaflores@gmail.com,"Santa Fe",2035,25.99,23927
74,2024-05-16,fabianvillalba@gmail.com,"Santa Fe",2035,25.99,23927
75,2024-04-26,mar_juarez@gmail.com,"Sante Fe",2035,22.99,23928
76,2024-04-28,javiergarcia@gmail.com,Catamarca,2035,22.99,23928
77,2024-05-16,danielalopez@gmail.com,Catamarca,2035,22.99,23928
78,2024-04-25,gabrielaromero@gmail.com,Cordoba,2033,35.50,15228
